t_min,G_mg_dl
0,60
2,60
4,62
6,65
8,68
10,72
12,76
14,82
16,88
18,95
20,103
22,112
24,122
26,133
28,145
30,157
32,170
34,183
36,196
38,209
40,222
42,235
44,247
46,258
48,268
50,277
52,285
54,291
56,296
58,300
60,303
62,305
64,306
66,307
68,307
70,307
72,306
74,305
76,303
78,301
80,298
82,295
84,291
86,287
88,283
90,278
92,273
94,268
96,263
98,257
100,252
102,246
104,241
106,235
108,230
110,224
112,219
114,214
116,209
118,204
120,199
122,195
124,190
126,186
128,182
130,178
132,175
134,171
136,168
138,165
140,163
142,160
144,158
146,156
148,154
150,153
152,151
154,150
156,149
158,149
160,148
162,148
164,148
166,148
168,149
170,149
172,150
174,151
176,152
178,153
180,154
182,156
184,157
186,159
188,160
190,162
192,163
194,165
196,166
198,167
200,168
202,168
204,169
206,169
208,168
210,168
212,167
214,166
216,164
218,163
220,161
222,159
224,157
226,154
228,152
230,149
232,147
234,144
236,141
238,139
240,136
242,133
244,131
246,128
248,126
250,123
252,121
254,119
256,117
258,115
260,113
262,112
264,110
266,109
268,108
270,107
272,106
274,105
276,105
278,104
280,104
282,104
284,104
286,104
288,105
290,105
292,106
294,107
296,108
298,109
300,111
302,113
304,115
306,117
308,120
310,123
312,126
314,130
316,134
318,138
320,143
322,148
324,153
326,159
328,165
330,171
332,178
334,185
336,192
338,199
340,207
342,215
344,223
346,231
348,240
350,248
352,257
354,265
356,274
358,282
360,290
