t_min,G_mg_dl
0,100.5
2,105.3
4,112.8
6,121.6
8,132.4
10,145.7
12,160.9
14,178.2
16,197.5
18,218.6
20,241.2
22,264.9
24,289.2
26,313.5
28,337.2
30,359.8
32,380.8
34,399.8
36,416.5
38,430.7
40,442.2
42,451.1
44,457.4
46,461.4
48,463.2
50,463.1
52,461.5
54,458.6
56,454.7
58,450.2
60,445.2
62,440.0
64,434.8
66,429.7
68,424.8
70,420.2
72,415.9
74,412.0
76,408.5
78,405.3
80,402.5
82,400.0
84,397.8
86,395.8
88,394.0
90,392.3
92,390.7
94,389.1
96,387.6
98,386.0
100,384.5
102,383.0
104,381.5
106,380.0
108,378.6
110,377.2
112,375.8
114,374.5
116,373.3
118,372.1
120,371.0
122,370.0
124,369.1
126,368.2
128,367.4
130,366.7
132,366.1
134,365.5
136,365.0
138,364.6
140,364.2
142,363.9
144,363.6
146,363.4
148,363.2
150,363.0
152,362.9
154,362.7
156,362.6
158,362.5
160,362.3
162,362.2
164,362.0
166,361.9
168,361.7
170,361.5
172,361.3
174,361.1
176,360.9
178,360.7
180,360.4
182,360.2
184,360.0
186,359.7
188,359.5
190,359.2
192,359.0
194,358.7
196,358.5
198,358.2
200,358.0
202,357.7
204,357.5
206,357.2
208,357.0
210,356.7
212,356.5
214,356.2
216,356.0
218,355.7
220,355.5
222,355.2
224,355.0
226,354.7
228,354.5
230,354.2
232,354.0
234,353.7
236,353.5
238,353.2
240,353.0
242,352.7
244,352.5
246,352.2
248,352.0
250,351.7
252,351.5
254,351.2
256,351.0
258,350.7
260,350.5
262,350.2
264,350.0
266,349.7
268,349.5
270,349.2
272,349.0
274,348.7
276,348.5
278,348.2
280,348.0
282,347.7
284,347.5
286,347.2
288,347.0
290,346.7
292,346.5
294,346.2
296,346.0
298,345.7
300,345.5
302,345.2
304,345.0
306,344.7
308,344.5
310,344.2
312,344.0
314,343.7
316,343.5
318,343.2
320,343.0
322,342.7
324,342.5
326,342.2
328,342.0
330,341.7
332,341.5
334,341.2
336,341.0
338,340.7
340,340.5
342,340.2
344,340.0
346,339.7
348,339.5
350,339.
352,339.0
354,338.7
356,338.5
358,338.2
360,338.0
