t_min,G_mg_dl
0,65
2,66
4,68
6,71
8,75
10,80
12,86
14,92
16,100
18,108
20,118
22,130
24,145
26,160
28,175
30,190
32,205
34,220
36,235
38,250
40,265
42,280
44,292
46,300
48,305
50,308
52,310
54,310
56,308
58,305
60,300
62,295
64,288
66,280
68,272
70,264
72,256
74,248
76,240
78,232
80,225
82,218
84,212
86,206
88,200
90,194
92,188
94,182
96,176
98,170
100,165
102,160
104,155
106,150
108,145
110,140
112,136
114,132
116,128
118,124
120,120
122,116
124,112
126,108
128,104
130,100
132,96
134,92
136,88
138,85
140,82
142,79
144,76
146,73
148,70
150,68
152,66
154,64
156,62
158,60
160,58
162,57
164,56
166,55
168,55
170,55
172,55
174,56
176,57
178,58
180,60
182,62
184,64
186,66
188,68
190,70
192,72
194,74
196,76
198,78
200,80
202,82
204,84
206,86
208,88
210,90
212,92
214,94
216,96
218,98
220,100
222,102
224,104
226,106
228,108
230,110
232,112
234,114
236,116
238,118
240,120
242,124
244,128
246,132
248,136
250,140
252,145
254,150
256,156
258,162
260,168
262,175
264,182
266,190
268,198
270,206
272,214
274,222
276,230
278,238
280,246
282,254
284,260
286,266
288,272
290,278
292,283
294,288
296,292
298,296
300,300
302,302
304,304
306,305
308,306
310,306
312,305
314,304
316,302
318,300
320,297
322,294
324,290
326,286
328,282
330,278
332,273
334,268
336,262
338,256
340,249
342,241
344,232
346,222
348,211
350,199
352,186
354,172
356,158
358,145
360,132
